特例标识,处理方式,操作,来源选择方式,来源选择值,目标选择方式,目标选择值,顺序,主体选择方式,主体选择值,事实,比较,值,单位,拒绝文案,后果模板
投料前必须打开高锰酸钾瓶,收紧默认,放置,实体,药匙,实体,高锰酸钾广口瓶,110,实体,高锰酸钾广口瓶,目标对象覆盖物,不包含,高锰酸钾瓶盖,,请先取下高锰酸钾广口瓶盖,纠正后继续
舀取前必须打开高锰酸钾瓶,收紧默认,取出,实体,药匙,实体,高锰酸钾广口瓶,111,实体,高锰酸钾广口瓶,目标对象覆盖物,不包含,高锰酸钾瓶盖,,请先取下高锰酸钾广口瓶盖,纠正后继续
药匙投料前必须拿起药匙,收紧默认,倾倒,实体,药匙,实体,大试管,123,实体,药匙,来源对象已被操作者拿起,等于,是,,请先拿起盛有高锰酸钾的药匙,纠正后继续
药匙投料前必须舀取药品,收紧默认,倾倒,实体,药匙,实体,大试管,124,实体,药匙,来源对象包含物质,包含,高锰酸钾,,请先把药匙伸入试剂瓶并舀取高锰酸钾,纠正后继续
气密性观察前必须接入大试管,收紧默认,观察,实体,折角导气管,,,131,实体,折角导气管,来源对象连接网络,包含,大试管,,请先把两段连接件与大试管完整连接,纠正后继续
气密性观察时导管必须在水中,收紧默认,观察,实体,折角导气管,,,132,实体,折角导气管,来源对象所在容器,包含,水槽,,请先把折角导气管口放入水中,纠正后继续
气密性观察时必须手握大试管,收紧默认,观察,实体,折角导气管,,,133,实体,折角导气管,来源对象连接网络中由操作者持有的对象,包含,大试管,,请用手握住大试管加热其中空气后再观察,纠正后继续
放入棉花团前必须使用镊子,收紧默认,放置,实体,棉花团,实体,大试管,140,实体,棉花团,来源对象连接对象,包含,镊子,,请先用镊子夹住棉花团,纠正后继续
夹取木炭前必须打开木炭瓶,收紧默认,连接,实体,坩埚钳,实体,木炭,230,实体,木炭,目标对象所在容器覆盖物,不包含,木炭瓶盖,,请先取下木炭广口瓶盖,纠正后继续
放入木炭前必须先用坩埚钳夹住,收紧默认,放置,实体,木炭,实体,集气瓶一,242,实体,木炭,来源对象连接对象,包含,坩埚钳,,请先用坩埚钳夹住木炭,纠正后继续
加水前必须拿起烧杯,收紧默认,倾倒,实体,加水烧杯,实体,集气瓶一,250,实体,加水烧杯,来源对象已被操作者拿起,等于,是,,请先拿起加水烧杯,纠正后继续
向第二只瓶加水前必须拿起烧杯,收紧默认,倾倒,实体,加水烧杯,实体,集气瓶二,251,实体,加水烧杯,来源对象已被操作者拿起,等于,是,,请先拿起加水烧杯,纠正后继续
向第一只瓶装水时必须拿起瓶子,收紧默认,倾倒,实体,加水烧杯,实体,集气瓶一,260,实体,集气瓶一,目标对象已被操作者拿起,等于,是,,请先拿起第一只集气瓶,纠正后继续
向第二只瓶装水时必须拿起瓶子,收紧默认,倾倒,实体,加水烧杯,实体,集气瓶二,270,实体,集气瓶二,目标对象已被操作者拿起,等于,是,,请先拿起第二只集气瓶,纠正后继续
倒入石灰水前必须拿起试剂,收紧默认,倾倒,实体,澄清石灰水窄口瓶,实体,集气瓶一,280,实体,澄清石灰水窄口瓶,来源对象已被操作者拿起,等于,是,,请先拿起澄清石灰水窄口瓶,纠正后继续
划燃火柴前必须拿起火柴,收紧默认,点燃,实体,火柴,实体,火柴盒,300,实体,火柴,来源对象已被操作者拿起,等于,是,,请先拿起火柴,纠正后继续
点燃酒精灯前必须取下酒精灯帽,收紧默认,点燃,实体,酒精灯,实体,火柴,310,实体,酒精灯,来源对象覆盖物,不包含,酒精灯帽,,请先取下酒精灯帽,纠正后继续
点燃酒精灯前必须划燃火柴,收紧默认,点燃,实体,酒精灯,实体,火柴,320,实体,火柴,目标对象已点燃,等于,是,,请先在火柴盒上划燃火柴,纠正后继续
点燃酒精灯时必须拿着火柴,收紧默认,点燃,实体,酒精灯,实体,火柴,330,实体,火柴,目标对象已被操作者拿起,等于,是,,请拿着已点燃的火柴靠近酒精灯,纠正后继续
盖灭酒精灯前必须盖上酒精灯帽,收紧默认,熄灭,实体,酒精灯,实体,火柴,360,实体,酒精灯,来源对象覆盖物,包含,酒精灯帽,,请先用酒精灯帽盖住酒精灯,纠正后继续
点燃铁丝底端火柴前必须划燃火柴,收紧默认,点燃,实体,组合引燃火柴,实体,火柴,370,实体,火柴,目标对象已点燃,等于,是,,请先在火柴盒上划燃火柴,纠正后继续
点燃铁丝底端火柴时必须拿着火柴,收紧默认,点燃,实体,组合引燃火柴,实体,火柴,380,实体,火柴,目标对象已被操作者拿起,等于,是,,请拿着已点燃的火柴靠近铁丝底端火柴,纠正后继续
