过程标识,过程类型,主体选择方式,主体选择值,来源选择方式,来源选择值,目标选择方式,目标选择值,参数
初始木炭,初始物质,实体,木炭,,,,,物质标识=碳;物态=固体;数量=12;单位=克;温度=20
初始火柴铁丝组合,初始物质,实体,火柴铁丝组合,,,,,物质标识=铁;物态=固体;数量=168;单位=克;温度=20
初始石灰水溶质,初始物质,实体,澄清石灰水窄口瓶,,,,,物质标识=氢氧化钙;物态=固体;数量=7.4092;单位=克;温度=20
初始石灰水,初始物质,实体,澄清石灰水窄口瓶,,,,,物质标识=水;物态=液体;数量=100;单位=毫升;温度=20
初始高锰酸钾,初始物质,实体,高锰酸钾广口瓶,,,,,物质标识=高锰酸钾;物态=固体;数量=632;单位=克;温度=20
初始加水烧杯,初始物质,实体,加水烧杯,,,,,物质标识=水;物态=液体;数量=1000;单位=毫升;温度=20
初始水槽,初始物质,实体,水槽,,,,,物质标识=水;物态=液体;数量=1000;单位=毫升;温度=20
倾倒高锰酸钾,倾倒过程,实体,药匙,,,实体,大试管,物质标识=高锰酸钾;计量单位=克;目标容量=632;容量处理策略=停止;容量不足拒绝原因=药匙中没有高锰酸钾
倾倒水到一号瓶,倾倒过程,实体,加水烧杯,,,实体,集气瓶一,物质标识=水;计量单位=毫升;目标容量=1000;容量处理策略=停止;容量不足拒绝原因=目标容量不足
倾倒水到二号瓶,倾倒过程,实体,加水烧杯,,,实体,集气瓶二,物质标识=水;计量单位=毫升;目标容量=1000;容量处理策略=停止;容量不足拒绝原因=目标容量不足
倾倒石灰水,倾倒过程,实体,澄清石灰水窄口瓶,,,实体,集气瓶一,物质标识=水;计量单位=毫升;目标容量=1000;容量处理策略=停止;容量不足拒绝原因=目标容量不足
加热高锰酸钾,加热开始过程,实体,大试管,,,实体,酒精灯,热功率=60;效率=0.8;热容=120;散热系数=0.05;环境温度摄氏度=20;反应标识=高锰酸钾受热分解;反应阈值摄氏度=200;每次推进反应单位=1;必需包含实体标识=棉花团;缺少包含实体拒绝原因=未放置棉花团;缺少包含实体风险状态键=大试管.风险.粉末污染;必需连接实体标识=橡胶塞玻璃导管;缺少连接实体拒绝原因=装置未密封;缺少连接实体风险状态键=大试管.风险.装置漏气;热源状态键=酒精灯.已点燃;热源未点燃拒绝原因=酒精灯未点燃
加热木炭,加热开始过程,实体,木炭,,,实体,酒精灯,热功率=60;效率=0.8;热容=12;散热系数=0.01;环境温度摄氏度=20;热源状态键=酒精灯.已点燃;热源未点燃拒绝原因=酒精灯未点燃
加热铁丝,加热开始过程,实体,火柴铁丝组合,,,实体,组合引燃火柴,热功率=60;效率=0.8;热容=12;散热系数=0.01;环境温度摄氏度=20;热源状态键=组合引燃火柴.已点燃;热源未点燃拒绝原因=铁丝底端火柴未点燃
安全停热,加热结束过程,实体,大试管,,,实体,酒精灯,停热连接触发风险=是;风险状态键后缀=.风险.冷凝水倒吸;风险连接实体标识=折角导气管;风险连接端口标识=折角导气管.出口.集气瓶;检测风险实体任意连接=是
划燃火柴,点燃热源过程,实体,火柴,,,实体,火柴盒,状态键=火柴.已点燃
点燃酒精灯,点燃热源过程,实体,酒精灯,,,实体,火柴,状态键=酒精灯.已点燃
熄灭酒精灯,熄灭热源过程,实体,酒精灯,,,实体,火柴,状态键=酒精灯.已点燃
点燃铁丝底端火柴,点燃热源过程,实体,组合引燃火柴,,,实体,火柴,状态键=组合引燃火柴.已点燃
点燃木炭,燃烧过程,实体,木炭,,,实体,酒精灯,反应标识=木炭燃烧;燃料标识=碳;氧化剂标识=氧气;氧化剂来源实体标识=集气瓶一;最低点燃温度摄氏度=600;最大点火距离米=0.2;每秒反应单位=1;点火源无效拒绝原因=点火源无效;点火距离过远拒绝原因=点火距离过远;对象不可燃拒绝原因=对象不可燃;缺少氧化剂拒绝原因=缺少氧气;燃料温度不足拒绝原因=燃料温度不足;热源状态键=酒精灯.已点燃;热源未点燃拒绝原因=酒精灯未点燃
点燃铁丝,燃烧过程,实体,火柴铁丝组合,,,实体,组合引燃火柴,反应标识=铁丝燃烧;燃料标识=铁;氧化剂标识=氧气;氧化剂来源实体标识=集气瓶二;最低点燃温度摄氏度=600;最大点火距离米=0.2;每秒反应单位=1;点火源无效拒绝原因=点火源无效;点火距离过远拒绝原因=点火距离过远;对象不可燃拒绝原因=对象不可燃;缺少氧化剂拒绝原因=缺少氧气;燃料温度不足拒绝原因=燃料温度不足;热源状态键=组合引燃火柴.已点燃;热源未点燃拒绝原因=铁丝底端火柴未点燃;安全容器实体标识=集气瓶二;最小安全液体体积毫升=1;液体不足拒绝原因=瓶底未留少量水;液体不足风险状态键=集气瓶二.风险.热损伤
振荡石灰水,混合过程,实体,集气瓶一,,,,,最小强度=0.1;最大强度=5;最短持续秒数=0.1;最长持续秒数=10;混合状态键后缀=.混合程度;混合增量系数=1;不可振荡拒绝原因=对象不可振荡;未持有拒绝原因=未持有对象;强度越界拒绝原因=振荡强度越界;持续时间越界拒绝原因=振荡时间越界;反应标识=石灰水与二氧化碳反应;最大反应单位=1
收集氧气到集气瓶一,集气过程,实体,折角导气管,,,实体,集气瓶一,来源实体标识=大试管;目标实体标识=集气瓶一;物质标识=氧气;数量=32;计量单位=克;数量不足拒绝原因=气流尚未稳定;数量不足风险状态键=集气瓶一.风险.氧气不纯
收集氧气到集气瓶二,集气过程,实体,折角导气管,,,实体,集气瓶二,来源实体标识=大试管;目标实体标识=集气瓶二;物质标识=氧气;数量=32;计量单位=克;数量不足拒绝原因=气流尚未稳定
转移二氧化碳,反应产物转移过程,实体,木炭,,,实体,集气瓶一,来源实体标识=木炭;目标实体标识=集气瓶一;物质标识=二氧化碳;数量=44;计量单位=克
转移四氧化三铁,反应产物转移过程,实体,火柴铁丝组合,,,实体,集气瓶二,来源实体标识=火柴铁丝组合;目标实体标识=集气瓶二;物质标识=四氧化三铁;数量=116;计量单位=克
转移石灰水溶质,倾倒附加物质转移,实体,澄清石灰水窄口瓶,,,实体,集气瓶一,来源实体标识=澄清石灰水窄口瓶;目标实体标识=集气瓶一;物质标识=氢氧化钙;数量=7.4092;计量单位=克
药匙舀取高锰酸钾,固体取用过程,实体,药匙,,,实体,高锰酸钾广口瓶,来源实体标识=高锰酸钾广口瓶;目标实体标识=药匙;物质标识=高锰酸钾;数量=632;计量单位=克
标记安全停热,安全停热里程碑,实体,大试管,,,实体,酒精灯,状态键=大试管.风险.冷凝水倒吸;期望值=0;实体标识=大试管;课程里程碑=已安全停止加热
标记气密性检查,气密性检查里程碑,实体,折角导气管,,,,,实体标识=折角导气管;课程里程碑=已完成气密性检查
排出集气瓶一中的水,集气排水过程,实体,折角导气管,,,实体,集气瓶一,来源实体标识=集气瓶一;目标实体标识=水槽;物质标识=水;数量=90;计量单位=毫升
排出集气瓶二中的水,集气排水过程,实体,折角导气管,,,实体,集气瓶二,来源实体标识=集气瓶二;目标实体标识=水槽;物质标识=水;数量=90;计量单位=毫升
标记集气瓶一已完成氧气收集,集气完成里程碑,实体,折角导气管,,,实体,集气瓶一,实体标识=集气瓶一;课程里程碑=已完成氧气收集
标记集气瓶二已完成氧气收集,集气完成里程碑,实体,折角导气管,,,实体,集气瓶二,实体标识=集气瓶二;课程里程碑=已完成氧气收集
记录粉末污染,加热风险事件,实体,大试管,,,实体,酒精灯,状态键=大试管.风险.粉末污染;期望值=1;事件类型=实验风险.粉末污染
记录装置漏气,加热风险事件,实体,大试管,,,实体,酒精灯,状态键=大试管.风险.装置漏气;期望值=1;事件类型=实验风险.装置漏气
记录氧气不纯,集气风险事件,实体,折角导气管,,,实体,集气瓶一,状态键=集气瓶一.风险.氧气不纯;期望值=1;事件类型=实验风险.氧气不纯
记录冷凝水倒吸,停热风险事件,实体,大试管,,,实体,酒精灯,状态键=大试管.风险.冷凝水倒吸;期望值=1;事件类型=实验风险.冷凝水倒吸
记录集气瓶热损伤,燃烧风险事件,实体,火柴铁丝组合,,,实体,组合引燃火柴,状态键=集气瓶二.风险.热损伤;期望值=1;事件类型=实验风险.集气瓶热损伤
