配方标识,定义标识,字段,比较,值,单位,拒绝代码,适用操作
通用.抓取,条件.已被操作者持有,来源对象已被操作者拿起,等于,是,,,
通用.抓取,条件.释放来源已被持有,来源对象已被操作者拿起,等于,是,,请先拿起对象,通用释放
通用.放置,条件.放置来源已被持有,来源对象已被操作者拿起,等于,是,,请先拿起来源对象,通用放置
通用.放置,条件.拿出来源已被持有,来源对象已被操作者拿起,等于,是,,请先拿起来源对象,通用拿出
通用.覆盖,条件.覆盖来源已被持有,来源对象已被操作者拿起,等于,是,,请先拿起覆盖对象,通用覆盖
通用.覆盖,条件.揭开来源已被持有,来源对象已被操作者拿起,等于,是,,请先拿起覆盖对象,通用揭开
通用.连接,条件.连接来源已被持有,来源对象已被操作者拿起,等于,是,,请先拿起连接来源,通用连接
通用.连接,条件.断开来源已被持有,来源对象已被操作者拿起,等于,是,,请先拿起连接来源,通用断开
通用.固定连接,条件.固定连接目标已被持有,目标对象已被操作者拿起,等于,是,,请先拿起被固定对象,固定连接
通用.固定连接,条件.断开固定连接目标已被持有,目标对象已被操作者拿起,等于,是,,请先拿起被固定对象,断开固定连接
通用.连接,条件.来源端口空闲,来源连接点占用状态,为空,,,端口已被占用,通用连接
通用.连接,条件.目标端口空闲,目标连接点占用状态,为空,,,端口已被占用,通用连接
通用.连接,条件.端口兼容,连接标签相匹配,等于,是,,端口不兼容,通用连接
通用.连接,条件.来源端口已连接,来源连接点占用状态,不为空,,,端口尚未连接,通用断开
通用.连接,条件.连接状态,来源连接点占用状态,不为空,,,,
