流程标识,步骤标识,顺序,记录类型,显示名称,动作,来源,目标,触发类型,触发值,条件类型,主体,字段,比较,值,单位,分值变化,提示文案,参数名,参数值,后果严重度,可恢复性,受阻目标
教学目标,目标.检查装置气密性,10,目标,检查装置气密性,,,,状态满足,,,折角导气管,来源对象课程里程碑,包含,已完成气密性检查,,0,,,,,,
教学目标,目标.装入药品并固定试管,20,目标,装入药品并固定试管,,,,状态满足,,,铁架台试管夹,来源对象固定对象,包含,大试管,,0,,,,,,
教学目标,目标.准备集气瓶,30,目标,准备集气瓶,,,,状态满足,,,集气瓶一,来源内容体积,大于,0,毫升,0,,,,,,
教学目标,目标.产生稳定氧气流,40,目标,产生稳定的氧气流,,,,状态满足,,,大试管,来源对象温度,大于等于,200,摄氏度,0,,,,,,
教学目标,目标.收集两瓶氧气,50,目标,收集两瓶氧气,,,,状态满足,,,集气瓶一,来源对象课程里程碑,包含,已完成氧气收集,,0,,,,,,
教学目标,目标.收集两瓶氧气,50,目标,收集两瓶氧气,,,,状态满足,,,集气瓶二,来源对象课程里程碑,包含,已完成氧气收集,,0,,,,,,
教学目标,目标.安全停止加热,60,目标,安全停止加热,,,,状态满足,,,大试管,来源对象课程里程碑,包含,已安全停止加热,,0,,,,,,
教学目标,目标.检验木炭产物,70,目标,检验木炭燃烧产物,,,,状态满足,,,集气瓶一,来源固体质量,大于,0,克,0,,,,,,
教学目标,目标.观察铁丝燃烧,80,目标,观察火柴铁丝组合在氧气中燃烧,,,,状态满足,,,集气瓶二,来源固体质量,大于,0,克,0,,,,,,
教学目标,风险.粉末污染,110,风险,粉末污染,,,,领域事件,实验风险.粉末污染,,学生,操作者存在,等于,是,,-5,试管口未放置棉花团，粉末已进入导气系统,,,实验风险,需要更换器材或样品,
教学目标,风险.装置漏气,120,风险,装置漏气,,,,领域事件,实验风险.装置漏气,,学生,操作者存在,等于,是,,-10,装置未密封，生成的氧气正在逸散,,,现象偏差,可通过后续操作恢复,
教学目标,风险.氧气不纯,130,风险,氧气不纯,,,,领域事件,实验风险.氧气不纯,,学生,操作者存在,等于,是,,-10,气流稳定前开始收集，本瓶氧气纯度不足,,,现象偏差,需要更换器材或样品,
教学目标,风险.冷凝水倒吸,140,风险,冷凝水倒吸,,,,领域事件,实验风险.冷凝水倒吸,,学生,操作者存在,等于,是,,-20,折角导气管仍在水中时停止加热，已经发生冷凝水倒吸,,,安全事故,需要重新开始实验,
教学目标,风险.集气瓶热损伤,150,风险,集气瓶热损伤,,,,领域事件,实验风险.集气瓶热损伤,,学生,操作者存在,等于,是,,-20,瓶底未留少量水，集气瓶已经受到高温熔融物损伤,,,器材或样品损坏,永久阻断指定目标,目标.观察铁丝燃烧
制取并收集氧气,验收.制取并收集氧气.10,10,操作,,开始倾倒,药匙,大试管,,,,,,,,,,,请求流量克每秒,632,,,
制取并收集氧气,验收.制取并收集氧气.20,20,操作,,开始加热,大试管,酒精灯,,,,,,,,,,,,,,,
制取并收集氧气,验收.制取并收集氧气.30,30,操作,,收集气体,折角导气管,集气瓶一,,,,,,,,,,,,,,,
制取并收集氧气,验收.制取并收集氧气.40,40,操作,,收集气体,折角导气管,集气瓶二,,,,,,,,,,,,,,,
制取并收集氧气,验收.制取并收集氧气.50,50,断言,,,,,,,状态,集气瓶一,来源对象课程里程碑,包含,已完成氧气收集,,,,,,,,
制取并收集氧气,验收.制取并收集氧气.50,50,断言,,,,,,,状态,集气瓶二,来源对象课程里程碑,包含,已完成氧气收集,,,,,,,,
木炭和铁丝性质,验收.木炭和铁丝性质.10,10,操作,,点燃,木炭,酒精灯,,,,,,,,,,,空间距离米,0.1,,,
木炭和铁丝性质,验收.木炭和铁丝性质.20,20,操作,,放置,木炭,集气瓶一,,,,,,,,,,,,,,,
木炭和铁丝性质,验收.木炭和铁丝性质.30,30,操作,,点燃,火柴铁丝组合,组合引燃火柴,,,,,,,,,,,空间距离米,0.1,,,
木炭和铁丝性质,验收.木炭和铁丝性质.40,40,操作,,放置,火柴铁丝组合,集气瓶二,,,,,,,,,,,,,,,
木炭和铁丝性质,验收.木炭和铁丝性质.50,50,断言,,,,,,,物质,集气瓶二,来源固体质量,大于,0,克,,,,,,,
