组件标识,显示名称,用途说明,参数标识,参数名称,参数类型,是否必填,单位,最小值,最大值,默认值,可选值
可抓取,可抓取,允许操作者拿起并移动用品,,,,,,,,,
容器,容器,可盛装物质或其他用品,容量毫升,容量,数值,否,毫升,0,,,
可连接,可连接,可与相容端口建立或断开连接,,,,,,,,,
可观察,可观察,可作为观察或检验的主体,,,,,,,,,
可夹持,可夹持,可被夹具或夹取工具稳定夹住,,,,,,,,,
可被覆盖,可被覆盖,可接受相容覆盖件,,,,,,,,,
可覆盖来源,可覆盖来源,可覆盖任意相容目标而不绑定实例,,,,,,,,,
可破损,可破损,错误操作可能使器材损坏,,,,,,,,,
可定位源,可定位来源,可由操作者调整到目标位置,,,,,,,,,
可定位目标,可定位目标,为其他用品提供定位位置,,,,,,,,,
可放置来源,可放置来源,可被放到相容承载位置,,,,,,,,,
可放置目标,可放置目标,可承载相容用品,,,,,,,,,
可加热,可加热,可接受热源持续加热,,,,,,,,,
热源,热源,点燃后可向相容目标提供热量,热功率,相对热功率,数值,否,,0,,1,
可倾倒,可倾倒,可通过倾斜转移所盛物质,,,,,,,,,
可点燃,可点燃,满足条件时可被点燃或熄灭,,,,,,,,,
点火工具,点火工具,可作为有效点火来源,,,,,,,,,
可燃烧,可燃烧,满足温度和氧化剂条件时可燃烧,,,,,,,,,
可振荡,可振荡,被持有时可通过振荡促进混合,,,,,,,,,
可上下调节,可上下调节,允许在限定高度范围内调节,最低高度米,最低高度,数值,否,米,,,,
可上下调节,可上下调节,允许在限定高度范围内调节,最高高度米,最高高度,数值,否,米,,,,
可旋转调节,可旋转调节,允许在限定角度范围内旋转,最小角度,最小角度,数值,否,度,,,,
可旋转调节,可旋转调节,允许在限定角度范围内旋转,最大角度,最大角度,数值,否,度,,,,
可密封,可密封,连接后可密封相容容器开口,,,,,,,,,
可集气,可集气,可参与排水法或其他集气过程,,,,,,,,,
固体携带工具,固体携带工具,可权威记录夹取或盛取的固体物质,,,,,,,,,
气体来源,气体来源,可向相容集气容器输送气体,,,,,,,,,
反应产物来源,反应产物来源,反应完成后可把产物送入目标容器,,,,,,,,,
反应产物容器,反应产物容器,可承接相容反应产物,,,,,,,,,
