操作标识,显示名称,用途说明,生命周期,执行方式,开始动作,观测动作,完成动作,取消动作
抓取,抓取,拿起并直接操纵用品,操纵,直接操纵,抓取,位置与旋转,释放,释放
放置,放置,把用品放到相容承载位置,即时,直接操纵,,,放置,
覆盖,覆盖,用覆盖件盖住相容目标,即时,直接操纵,,,覆盖,
揭开,揭开,从目标移除覆盖件,即时,直接操纵,,,揭开,
连接,连接,建立两个相容端口之间的连接,即时,直接操纵,,,连接,
断开,断开,解除已有端口连接,即时,直接操纵,,,断开,
调整高度,调整高度,调整夹具在铁架台上的高度,操纵,直接操纵,开始调整,高度,完成调整,取消调整
调整角度,调整角度,调整夹具和试管的倾斜角,操纵,直接操纵,开始调整,角度,完成调整,取消调整
夹持,夹持,用夹具或工具夹住相容用品,即时,直接操纵,,,夹持,
夹取,夹取,用工具夹取固体或小件材料,操纵,直接操纵,开始夹取,夹持状态,完成夹取,取消夹取
倾倒,倾倒,根据倾角和时间权威计算物质转移,持续,持续输入,开始倾倒,倾角,结束倾倒,取消倾倒
加热,加热,根据热源和时间权威推进温度与反应,持续,持续输入,开始加热,加热状态,结束加热,取消加热
点燃,点燃,使用有效点火来源点燃目标,即时,即时执行,,,点燃,
熄灭,熄灭,停止热源或燃烧过程,即时,即时执行,,,熄灭,
集气,集气,根据装置状态和时间权威推进气体收集,持续,持续输入,开始集气,收集气体,结束集气,取消集气
振荡,振荡,根据强度和时间权威推进混合,持续,持续输入,开始振荡,振荡,结束振荡,取消振荡
取出,取出,从容器中拿出一个用品,即时,直接操纵,,,拿出,
取出固体,取出固体,用相容工具从容器中盛取固体,即时,直接操纵,,,取出物质,
