过程类型,转换类型,学科配方,配方局部项,状态操作,物质参数
初始物质,初始物质,化学.运行配置,,,物质标识
倾倒过程,过程参数,化学.倾倒,开始倾倒,,
加热开始过程,过程参数,化学.加热,开始加热,,
加热结束过程,过程参数,化学.加热,结束加热,,
点燃热源过程,过程参数,化学.点燃热源,点燃热源,,
熄灭热源过程,过程参数,化学.点燃热源,熄灭热源,,
燃烧过程,过程参数,化学.点燃,点燃,,
混合过程,过程参数,化学.振荡,振荡,,
集气过程,过程参数,化学.集气,集气,,
反应产物转移过程,过程参数,化学.放入反应产物,转移产物,,
倾倒附加物质转移,过程操作,化学.倾倒,开始倾倒,转移物质,
固体取用过程,过程操作,通用.放置,通用拿出,转移物质,
安全停热里程碑,过程操作,化学.加热,结束加热,条件记录课程里程碑,
气密性检查里程碑,过程操作,通用.观察,通用观察,记录课程里程碑,
集气排水过程,过程操作,化学.集气,集气,转移物质,
集气完成里程碑,过程操作,化学.集气,集气,记录课程里程碑,
加热风险事件,过程操作,化学.加热,开始加热,条件发布事件,
停热风险事件,过程操作,化学.加热,结束加热,条件发布事件,
集气风险事件,过程操作,化学.集气,集气,条件发布事件,
燃烧风险事件,过程操作,化学.点燃,点燃,条件发布事件,
