配方标识,操作名称,操作指令,抽象操作,生命周期,执行方式,阶段,审核结果,优先级,状态变化,表现反馈
通用.抓取,通用抓取,抓取,抓取,操纵,直接操纵,开始,允许,100,结果.建立持有,表现.持有跟随
通用.抓取,通用释放,释放,抓取,操纵,直接操纵,完成,允许,100,结果.移除持有,表现.停止跟随
通用.放置,通用放置,放置,放置,即时,放置到目标,完成,允许,200,结果.建立放置,
通用.放置,通用拿出,拿出,取出,即时,直接操纵,完成,允许,200,结果.移除放置,
通用.定位,通用定位,定位,调整位置,操纵,受限位置操纵,完成,允许,100,结果.记录定位,表现.对象定位
通用.覆盖,通用覆盖,覆盖,覆盖,即时,放置到目标,完成,允许,200,结果.建立覆盖,
通用.覆盖,通用揭开,揭开,揭开,即时,直接操纵,完成,允许,200,结果.移除覆盖,
通用.观察,通用观察,观察,观察,即时,观察,完成,允许,100,,表现.观察提示
通用.连接,通用连接,连接,连接,即时,连接端口,完成,允许,200,结果.建立连接,表现.端口吸附
通用.连接,通用断开,断开,断开,即时,直接操纵,完成,允许,200,结果.移除连接,表现.端口分离
通用.固定连接,固定连接,连接,连接,即时,连接端口,完成,允许,200,结果.建立固定连接,表现.端口吸附
通用.固定连接,断开固定连接,断开,断开,即时,直接操纵,完成,允许,200,结果.移除固定连接,表现.端口分离
