教学项标识,类型,显示名称,触发类型,触发值,分值变化,提示文案,错误严重度,发生后如何继续,受影响目标
检查装置气密性,目标,检查装置气密性,状态满足,,0,,,,
装入药品并固定试管,目标,装入药品并固定试管,状态满足,,0,,,,
准备集气瓶,目标,准备集气瓶,状态满足,,0,,,,
产生稳定氧气流,目标,产生稳定的氧气流,状态满足,,0,,,,
收集两瓶氧气,目标,收集两瓶氧气,状态满足,,0,,,,
安全停止加热,目标,安全停止加热,状态满足,,0,,,,
检验木炭产物,目标,检验木炭燃烧产物,状态满足,,0,,,,
观察铁丝燃烧,目标,观察火柴铁丝组合在氧气中燃烧,状态满足,,0,,,,
粉末污染,风险,粉末污染,领域事件,实验风险.粉末污染,-5,试管口未放置棉花团，粉末已进入导气系统,实验风险,更换样品或器材后继续,
装置漏气,风险,装置漏气,领域事件,实验风险.装置漏气,-10,装置未密封，生成的氧气正在逸散,现象偏差,纠正后继续,
氧气不纯,风险,氧气不纯,领域事件,实验风险.氧气不纯,-10,气流稳定前开始收集，本瓶氧气纯度不足,现象偏差,更换样品或器材后继续,
冷凝水倒吸,风险,冷凝水倒吸,领域事件,实验风险.冷凝水倒吸,-20,折角导气管仍在水中时停止加热，已经发生冷凝水倒吸,安全事故,重新开始,
集气瓶热损伤,风险,集气瓶热损伤,领域事件,实验风险.集气瓶热损伤,-20,瓶底未留少量水，集气瓶已经受到高温熔融物损伤,实验风险,无法继续,观察铁丝燃烧
