表现标识,触发类型,触发值,主体选择方式,主体选择值,表现信号,作用位置,位置标识,参数
动作拒绝提示,动作拒绝,所有动作拒绝,实体,学生,显示提示,全局接收器,,文案=当前条件不允许执行该操作;持续秒数=3
初始化显示高锰酸钾,课程初始化,课程已初始化,实体,高锰酸钾广口瓶,显示渲染器,表现插槽,插槽.内容,
初始化隐藏药匙内容,课程初始化,课程已初始化,实体,药匙,隐藏渲染器,表现插槽,插槽.内容,
初始化隐藏试管内容,课程初始化,课程已初始化,实体,大试管,隐藏渲染器,表现插槽,插槽.内容,
粉末污染提示,领域事件,实验风险.粉末污染,实体,大试管,显示提示,全局接收器,,文案=未放置棉花团仍开始加热：粉末已进入导气系统
装置漏气提示,领域事件,实验风险.装置漏气,实体,大试管,显示提示,全局接收器,,文案=装置未密封仍开始加热：生成的氧气正在逸散
氧气不纯提示,领域事件,实验风险.氧气不纯,实体,集气瓶一,显示提示,全局接收器,,文案=过早收集气体：本瓶氧气纯度不足
倒吸提示,领域事件,实验风险.冷凝水倒吸,实体,大试管,显示提示,全局接收器,,文案=折角导气管未移出水面便停止加热：已经发生倒吸
热损伤提示,领域事件,实验风险.集气瓶热损伤,实体,集气瓶二,显示提示,全局接收器,,文案=瓶底未留水：高温熔融物已经损伤集气瓶
舀取后隐藏试剂瓶内容,动作成功,取出,实体,高锰酸钾广口瓶,隐藏渲染器,表现插槽,插槽.内容,
舀取后显示药匙内容,动作成功,取出,实体,药匙,显示渲染器,表现插槽,插槽.内容,
投料时隐藏药匙内容,动作成功,倾倒,实体,药匙,隐藏渲染器,表现插槽,插槽.内容,
投料时显示试管内容,动作成功,倾倒,实体,大试管,显示渲染器,表现插槽,插槽.内容,
