场景标识,顺序,记录类型,操作,来源,目标,参数名,参数值,断言类型,对象,事实,比较,期望值,单位
制取并收集氧气,10,动作,开始倾倒,药匙,大试管,请求流量克每秒,632,,,,,,
制取并收集氧气,20,动作,开始加热,大试管,酒精灯,,,,,,,,
制取并收集氧气,30,动作,收集气体,折角导气管,集气瓶一,,,,,,,,
制取并收集氧气,40,动作,收集气体,折角导气管,集气瓶二,,,,,,,,
制取并收集氧气,50,断言,,,,,,状态,集气瓶一,来源对象课程里程碑,包含,已完成氧气收集,
制取并收集氧气,50,断言,,,,,,状态,集气瓶二,来源对象课程里程碑,包含,已完成氧气收集,
木炭和铁丝性质,10,动作,点燃,木炭,酒精灯,空间距离米,0.1,,,,,,
木炭和铁丝性质,20,动作,放置,木炭,集气瓶一,,,,,,,,
木炭和铁丝性质,30,动作,点燃,火柴铁丝组合,组合引燃火柴,空间距离米,0.1,,,,,,
木炭和铁丝性质,40,动作,放置,火柴铁丝组合,集气瓶二,,,,,,,,
木炭和铁丝性质,50,断言,,,,,,物质,集气瓶二,来源固体质量,大于,0,克
