实体标识,显示名称,实体类型,角色列表,标签列表,初始位置,初始旋转
学生,学生,,操作者,,0|0|-3,0|0|0
铁架台,铁架台,铁架台,,,-1|0|0,0|0|0
铁架台试管夹,铁架台试管夹,铁架台试管夹,,,-1|1|0,0|0|0
试管架,试管架,试管架,,,-2.5|0|0,0|0|0
大试管,大试管,试管,,,-2.5|0.6|0,0|0|-10
升降台,升降台,升降台,,,-1.2|0|0.2,0|0|0
酒精灯,酒精灯,酒精灯,,,-1|0|0.5,0|0|0
酒精灯帽,酒精灯帽,酒精灯帽,,,-0.8|0|0.5,0|0|0
橡胶塞玻璃导管,橡胶塞玻璃导管,橡胶塞玻璃导管,,,-0.5|1|0,0|0|0
折角导气管,折角导气管,折角导气管,,,0|1|0,0|0|0
水槽,水槽,水槽,,,1|0|0,0|0|0
废液缸,废液缸,废液缸,,,-2.7|0|0.8,0|0|0
火柴盒,火柴盒,火柴盒,,,-1.7|0|0.5,0|0|0
火柴,火柴,火柴,,,-1.5|0|0.5,0|0|0
集气瓶一,集气瓶一,集气瓶,,第一只,0.8|0.5|0,0|0|180
集气瓶二,集气瓶二,集气瓶,,第二只,1.2|0.5|0,0|0|180
玻璃片一,玻璃片一,玻璃片,,第一块,0.8|0.8|0,0|0|0
玻璃片二,玻璃片二,玻璃片,,第二块,1.2|0.8|0,0|0|0
加水烧杯,加水烧杯,烧杯,,盛水,2|0|0,0|0|0
澄清石灰水窄口瓶,装有澄清石灰水的窄口瓶,窄口瓶,,澄清石灰水,2|0|0.5,0|0|0
棉花团,棉花团,棉花团,,,-1.8|0|0.5,0|0|0
镊子,镊子,镊子,,,-1.5|0|1,0|0|0
高锰酸钾广口瓶,装有高锰酸钾的广口瓶,带盖广口瓶,,高锰酸钾,-2|0|0,0|0|0
高锰酸钾瓶盖,高锰酸钾广口瓶盖,广口瓶盖,,高锰酸钾,-2|0.8|0,0|0|0
木炭广口瓶,装有木炭的广口瓶,带盖广口瓶,,木炭,0|0|0.5,0|0|0
木炭瓶盖,木炭广口瓶盖,广口瓶盖,,木炭,0|0.8|0.5,0|0|0
木炭,木炭,木炭,,,0|0.3|0.5,0|0|0
药匙,药匙,药匙,,,-1.9|0|0.5,0|0|0
坩埚钳,坩埚钳,坩埚钳,,,0.6|0|0.5,0|0|0
火柴铁丝组合,火柴铁丝组合,火柴铁丝组合,,,0.3|0|0.5,0|0|0
组合引燃火柴,火柴铁丝组合上的火柴,组合引燃火柴,,,0.35|0|0.5,0|0|0
