配方标识,定义标识,表现方式,创建状态,状态后缀,状态条件,目标绑定,作用位置,位置绑定,位置标识,生命周期,参数名,参数类型,参数值,参数来源,载荷键
化学.倾倒,表现.倾倒,振荡,否,,,动作来源,实体根节点,固定,,一次性,,,,,
化学.倾倒,表现.停止倾倒,振荡,否,,,动作来源,实体根节点,固定,,一次性,,,,,
化学.加热,表现.加热,播放特效,否,,,动作来源,表现插槽,固定,插槽.内容,一次性,,,,,
化学.加热,表现.停止加热,显示渲染器,否,,,动作来源,表现插槽,固定,插槽.内容,持续至替换,,,,,
化学.点燃,表现.燃烧,播放特效,否,,,动作来源,表现插槽,固定,插槽.燃烧,一次性,,,,,
化学.点燃,表现.停止燃烧,隐藏渲染器,否,,,动作来源,表现插槽,固定,插槽.燃烧,持续至替换,,,,,
化学.点燃热源,表现.燃烧热源,播放特效,否,,,动作来源,表现插槽,固定,插槽.燃烧,一次性,,,,,
化学.点燃热源,表现.停止燃烧热源,隐藏渲染器,否,,,动作来源,表现插槽,固定,插槽.燃烧,持续至替换,,,,,
化学.振荡,表现.振荡,振荡,否,,,动作来源,实体根节点,固定,,一次性,,,,,
化学.集气,表现.集气,更新液面,否,,,动作目标,表现插槽,固定,插槽.液体,持续至替换,液面比例,数值,0.9,,
