知识标识,类型,主体,来源,目标,参数
物质.碳酸钙,物质,碳酸钙,,,显示名称=碳酸钙;物态=固体;摩尔质量=100.0865
物质.氢氧化钙,物质,氢氧化钙,,,显示名称=氢氧化钙;物态=固体;摩尔质量=74.092
物质.碳,物质,碳,,,显示名称=碳;物态=固体;摩尔质量=12.011
物质.二氧化碳,物质,二氧化碳,,,显示名称=二氧化碳;物态=气体;摩尔质量=44.0095
物质.铁,物质,铁,,,显示名称=铁;物态=固体;摩尔质量=55.845
物质.四氧化三铁,物质,四氧化三铁,,,显示名称=四氧化三铁;物态=固体;摩尔质量=231.533
物质.二氧化锰,物质,二氧化锰,,,显示名称=二氧化锰;物态=固体;摩尔质量=86.9368
物质.氧气,物质,氧气,,,显示名称=氧气;物态=气体;摩尔质量=31.998
物质.锰酸钾,物质,锰酸钾,,,显示名称=锰酸钾;物态=固体;摩尔质量=197.132
物质.高锰酸钾,物质,高锰酸钾,,,显示名称=高锰酸钾;物态=固体;摩尔质量=158.034
物质.水,物质,水,,,显示名称=水;物态=液体;摩尔质量=18.015
反应.石灰水,反应,石灰水与二氧化碳反应,,,过程类型=混合;最低温度=20;每刻反应量=1;需要点燃=否
反应.木炭燃烧,反应,木炭燃烧,,,过程类型=燃烧;最低温度=600;每刻反应量=1;需要点燃=是
反应.铁丝燃烧,反应,铁丝燃烧,,,过程类型=燃烧;最低温度=600;每刻反应量=1;需要点燃=是
反应.高锰酸钾分解,反应,高锰酸钾受热分解,,,过程类型=热分解;最低温度=200;每刻反应量=1;需要点燃=否
反应项.石灰水.氢氧化钙,反应物,石灰水与二氧化碳反应,氢氧化钙,,物态=固体;数量=7.4092;单位=克;每单位克数=1
反应项.石灰水.二氧化碳,反应物,石灰水与二氧化碳反应,二氧化碳,,物态=气体;数量=4.40095;单位=克;每单位克数=1
反应项.木炭.碳,反应物,木炭燃烧,碳,,物态=固体;数量=12;单位=克;每单位克数=1
反应项.木炭.氧气,反应物,木炭燃烧,氧气,,物态=气体;数量=32;单位=克;每单位克数=1
反应项.铁丝.铁,反应物,铁丝燃烧,铁,,物态=固体;数量=84;单位=克;每单位克数=1
反应项.铁丝.氧气,反应物,铁丝燃烧,氧气,,物态=气体;数量=32;单位=克;每单位克数=1
反应项.高锰酸钾.反应物,反应物,高锰酸钾受热分解,高锰酸钾,,物态=固体;数量=316;单位=克;每单位克数=1
反应项.石灰水.碳酸钙,产物,石灰水与二氧化碳反应,碳酸钙,,物态=固体;数量=10.00865;单位=克;每单位克数=1
反应项.石灰水.水,产物,石灰水与二氧化碳反应,水,,物态=液体;数量=1.8015;单位=毫升;每单位克数=1
反应项.木炭.二氧化碳,产物,木炭燃烧,二氧化碳,,物态=气体;数量=44;单位=克;每单位克数=1
反应项.铁丝.四氧化三铁,产物,铁丝燃烧,四氧化三铁,,物态=固体;数量=116;单位=克;每单位克数=1
反应项.高锰酸钾.二氧化锰,产物,高锰酸钾受热分解,二氧化锰,,物态=固体;数量=87;单位=克;每单位克数=1
反应项.高锰酸钾.氧气,产物,高锰酸钾受热分解,氧气,,物态=气体;数量=32;单位=克;每单位克数=1
反应项.高锰酸钾.锰酸钾,产物,高锰酸钾受热分解,锰酸钾,,物态=固体;数量=197;单位=克;每单位克数=1
