过程标识,显示名称,用途说明,参数标识,参数名称,参数类型,是否必填,单位,最小值,最大值,默认值,可选值
初始物质,初始物质,声明容器或材料在课程开始时具有的物质,物质标识,物质,文本,是,,,,,
初始物质,初始物质,声明容器或材料在课程开始时具有的物质,物态,物态,选项,是,,,,,固体;液体;气体
初始物质,初始物质,声明容器或材料在课程开始时具有的物质,数量,数量,数值,是,,0,,,
初始物质,初始物质,声明容器或材料在课程开始时具有的物质,单位,计量单位,选项,是,,,,,克;毫升
初始物质,初始物质,声明容器或材料在课程开始时具有的物质,温度,初始温度,数值,否,摄氏度,,,20,
倾倒过程,倾倒过程,依据库存、容量、倾角和时间转移物质,物质标识,物质,文本,是,,,,,
倾倒过程,倾倒过程,依据库存、容量、倾角和时间转移物质,目标容量,目标容量,数值,否,毫升,0,,,
加热开始过程,开始加热,依据热源功率和散热推进温度及反应,环境温度摄氏度,环境温度,数值,否,摄氏度,,,20,
加热开始过程,开始加热,依据热源功率和散热推进温度及反应,反应阈值摄氏度,反应阈值,数值,否,摄氏度,,,,
加热结束过程,结束加热,停止加热并判断倒吸等停热后果,风险状态键后缀,风险状态,文本,否,,,,,
点燃热源过程,点燃热源,点燃酒精灯、火柴等热源,状态键,点燃状态,文本,是,,,,,
熄灭热源过程,熄灭热源,熄灭酒精灯等热源,状态键,点燃状态,文本,是,,,,,
燃烧过程,燃烧过程,依据燃料、氧化剂和温度推进燃烧,反应标识,反应,文本,是,,,,,
燃烧过程,燃烧过程,依据燃料、氧化剂和温度推进燃烧,最低点燃温度摄氏度,最低点燃温度,数值,否,摄氏度,,,,
混合过程,混合过程,依据振荡强度和时间推进混合,最小强度,最小强度,数值,否,,0,1,0.1,
混合过程,混合过程,依据振荡强度和时间推进混合,最长持续秒数,最长持续时间,数值,否,秒,0,,,
集气过程,集气过程,依据连接和液体状态推进气体收集,物质标识,气体,文本,是,,,,,
集气过程,集气过程,依据连接和液体状态推进气体收集,数量,收集数量,数值,是,,0,,,
反应产物转移过程,转移反应产物,把燃烧等过程生成的产物转移到目标容器,物质标识,产物,文本,是,,,,,
倾倒附加物质转移,随倾倒转移附加物质,让混合物中的另一种物质随倾倒一并转移,,,,,,,,,
固体取用过程,取用固体,从容器向工具转移固体物质,,,,,,,,,
安全停热里程碑,记录安全停热,满足安全条件时记录课程里程碑,,,,,,,,,
气密性检查里程碑,记录气密性检查,观察成功后记录课程里程碑,,,,,,,,,
集气排水过程,排出集气瓶中的水,收集气体时把瓶内水排回水槽,,,,,,,,,
集气完成里程碑,记录集气完成,收集成功后记录课程里程碑,,,,,,,,,
加热风险事件,发布加热风险,加热条件不满足时发布实验风险事件,,,,,,,,,
停热风险事件,发布停热风险,停止加热方式不安全时发布实验风险事件,,,,,,,,,
集气风险事件,发布集气风险,收集条件不满足时发布实验风险事件,,,,,,,,,
燃烧风险事件,发布燃烧风险,燃烧条件不满足时发布实验风险事件,,,,,,,,,
