教学项标识,顺序,主体选择方式,主体选择值,事实,比较,值,单位
检查装置气密性,10,实体,折角导气管,来源对象课程里程碑,包含,已完成气密性检查,
装入药品并固定试管,20,实体,铁架台试管夹,来源对象固定对象,包含,大试管,
准备集气瓶,30,实体,集气瓶一,来源内容体积,大于,0,毫升
产生稳定氧气流,40,实体,大试管,来源对象温度,大于等于,200,摄氏度
收集两瓶氧气,50,实体,集气瓶一,来源对象课程里程碑,包含,已完成氧气收集,
收集两瓶氧气,50,实体,集气瓶二,来源对象课程里程碑,包含,已完成氧气收集,
安全停止加热,60,实体,大试管,来源对象课程里程碑,包含,已安全停止加热,
检验木炭产物,70,实体,集气瓶一,来源固体质量,大于,0,克
观察铁丝燃烧,80,实体,集气瓶二,来源固体质量,大于,0,克
粉末污染,110,实体,学生,操作者存在,等于,是,
装置漏气,120,实体,学生,操作者存在,等于,是,
氧气不纯,130,实体,学生,操作者存在,等于,是,
冷凝水倒吸,140,实体,学生,操作者存在,等于,是,
集气瓶热损伤,150,实体,学生,操作者存在,等于,是,
