配置标识,类型,配方,主体,来源,目标,操作名称,协议,参数
初始.木炭,初始物质,化学.运行配置,木炭,碳,,,,物态=固体;数量=12;单位=克;温度=20
初始.火柴铁丝组合,初始物质,化学.运行配置,火柴铁丝组合,铁,,,,物态=固体;数量=168;单位=克;温度=20
初始.石灰水溶质,初始物质,化学.运行配置,澄清石灰水窄口瓶,氢氧化钙,,,,物态=固体;数量=7.4092;单位=克;温度=20
初始.石灰水,初始物质,化学.运行配置,澄清石灰水窄口瓶,水,,,,物态=液体;数量=100;单位=毫升;温度=20
初始.高锰酸钾,初始物质,化学.运行配置,高锰酸钾广口瓶,高锰酸钾,,,,物态=固体;数量=632;单位=克;温度=20
初始.加水烧杯,初始物质,化学.运行配置,加水烧杯,水,,,,物态=液体;数量=1000;单位=毫升;温度=20
初始.水槽,初始物质,化学.运行配置,水槽,水,,,,物态=液体;数量=1000;单位=毫升;温度=20
过程.倾倒高锰酸钾,过程,化学.倾倒,开始倾倒,药匙,大试管,,,物质标识=高锰酸钾;计量单位=克;目标容量=632;容量处理策略=停止;容量不足拒绝原因=药匙中没有高锰酸钾
过程.倾倒水到一号瓶,过程,化学.倾倒,开始倾倒,加水烧杯,集气瓶一,,,物质标识=水;计量单位=毫升;目标容量=1000;容量处理策略=停止;容量不足拒绝原因=目标容量不足
过程.倾倒水到二号瓶,过程,化学.倾倒,开始倾倒,加水烧杯,集气瓶二,,,物质标识=水;计量单位=毫升;目标容量=1000;容量处理策略=停止;容量不足拒绝原因=目标容量不足
过程.倾倒石灰水,过程,化学.倾倒,开始倾倒,澄清石灰水窄口瓶,集气瓶一,,,物质标识=水;计量单位=毫升;目标容量=1000;容量处理策略=停止;容量不足拒绝原因=目标容量不足
过程.加热高锰酸钾,过程,化学.加热,开始加热,大试管,酒精灯,,,热功率=60;效率=0.8;热容=120;散热系数=0.05;环境温度摄氏度=20;反应标识=高锰酸钾受热分解;反应阈值摄氏度=200;每次推进反应单位=1;必需包含实体标识=棉花团;缺少包含实体拒绝原因=未放置棉花团;缺少包含实体风险状态键=大试管.风险.粉末污染;必需连接实体标识=橡胶塞玻璃导管;缺少连接实体拒绝原因=装置未密封;缺少连接实体风险状态键=大试管.风险.装置漏气;热源状态键=酒精灯.已点燃;热源未点燃拒绝原因=酒精灯未点燃
过程.加热木炭,过程,化学.加热,开始加热,木炭,酒精灯,,,热功率=60;效率=0.8;热容=12;散热系数=0.01;环境温度摄氏度=20;热源状态键=酒精灯.已点燃;热源未点燃拒绝原因=酒精灯未点燃
过程.加热铁丝,过程,化学.加热,开始加热,火柴铁丝组合,组合引燃火柴,,,热功率=60;效率=0.8;热容=12;散热系数=0.01;环境温度摄氏度=20;热源状态键=组合引燃火柴.已点燃;热源未点燃拒绝原因=铁丝底端火柴未点燃
