配方标识,操作名称,操作指令,抽象操作,生命周期,执行方式,阶段,审核结果,优先级,状态变化,表现反馈
化学.倾倒,开始倾倒,开始倾倒,倾倒,持续,持续倾斜,开始,允许,200,结果.开始倾倒,表现.倾倒
化学.倾倒,结束倾倒,结束倾倒,倾倒,持续,持续倾斜,完成,允许,200,结果.结束倾倒,表现.停止倾倒
化学.加热,开始加热,开始加热,加热,持续,保持加热,开始,允许,200,结果.开始加热,表现.加热
化学.加热,结束加热,结束加热,加热,持续,保持加热,完成,允许,200,结果.结束加热,表现.停止加热
化学.点燃,点燃,点燃,点燃,即时,接触点火,完成,允许,200,结果.点燃,表现.燃烧
化学.点燃,熄灭,熄灭,熄灭,即时,覆盖熄灭,完成,允许,200,结果.熄灭,表现.停止燃烧
化学.点燃热源,点燃热源,点燃,点燃,即时,接触点火,完成,允许,200,结果.点燃热源,表现.燃烧热源
化学.点燃热源,熄灭热源,熄灭,熄灭,即时,覆盖熄灭,完成,允许,200,结果.熄灭热源,表现.停止燃烧热源
化学.振荡,振荡,振荡,振荡,持续,持续振荡,观测,允许,100,结果.振荡,表现.振荡
化学.集气,集气,收集气体,集气,持续,保持集气,观测,允许,200,结果.集气,表现.集气
化学.放入反应产物,放入反应产物,放置,放置,即时,放置到目标,完成,允许,200,结果.放入反应产物,
