模板标识,类别标识,显示名称,用途说明,显示顺序,可用操作,建议角色,建议标签
铁架台,支撑与夹持器材,铁架台,固定支撑实验装置且本体不可移动,10,,,固定设施
铁架台试管夹,支撑与夹持器材,铁架台试管夹,夹住试管并调整高度和倾斜角,20,调整位置;夹持,夹具,可调节
试管架,支撑与夹持器材,试管架,放置试管且本体不可移动,30,放置,试管承载架,固定设施
升降台,支撑与夹持器材,升降台,承载酒精灯且本体不可移动,40,放置,热源承载台,固定设施
试管,容器与反应器皿,试管,盛装少量物质并进行反应或加热,50,抓取;放置;连接;加热;倾倒,反应容器,可加热
酒精灯,加热与点火设备,酒精灯,点燃后提供稳定热源,60,抓取;放置;点燃;熄灭,热源,有火焰
酒精灯帽,连接与密封器材,酒精灯帽,覆盖酒精灯灯芯以熄灭火焰,70,抓取;覆盖;揭开,灯帽,覆盖件
广口瓶盖,连接与密封器材,广口瓶盖,覆盖任意相容的广口试剂瓶,75,抓取;覆盖;揭开,瓶盖,覆盖件;可复用
橡胶塞玻璃导管,连接与密封器材,橡胶塞和玻璃导管,密封试管口并导出气体,80,抓取;连接;断开,导气连接件,密封件
折角导气管,连接与密封器材,折角玻璃导管,连接导气管并将末端伸入水中,90,抓取;连接;断开;放置;观察,导气连接件,导气
水槽,容器与反应器皿,水槽,盛水用于气密性检查和排水集气且本体不可移动,100,集气,集气水槽,固定设施;盛水
废液缸,"安全、清洁与废弃设施",废液缸,承接废液和实验废弃物且本体不可移动,110,倾倒,废弃物容器,固定设施
火柴盒,加热与点火设备,火柴盒,收纳火柴并提供取用位置,120,抓取;放置;取出,点火用品容器,点火
火柴,加热与点火设备,火柴,点燃酒精灯或实验材料,130,抓取;放置;点燃,点火工具,耗材
集气瓶,容器与反应器皿,广口集气瓶,用排水法收集气体并进行性质验证,140,抓取;放置;覆盖;揭开;集气;观察;振荡,气体容器,集气
玻璃片,连接与密封器材,玻璃片,覆盖任意相容的集气瓶,150,抓取;放置;覆盖;揭开,覆盖件,可复用
烧杯,容器与反应器皿,烧杯,向集气瓶补水或临时盛装液体,160,抓取;放置;倾倒,补水容器,盛水
窄口瓶,容器与反应器皿,窄口瓶,装有澄清石灰水并用于检验气体,170,抓取;放置;倾倒;振荡,检验试剂容器,澄清石灰水
棉花团,药品与实验材料,棉花团,放在试管口附近阻挡高锰酸钾粉末,180,抓取;放置;夹持,辅助材料,耗材
镊子,操作工具,镊子,夹取棉花团并放入试管口,190,抓取;放置;夹取,夹取工具,精细操作
带盖广口瓶,容器与反应器皿,带盖广口瓶,盛装高锰酸钾或木炭并通过标签区分内容物,200,抓取;放置;覆盖;揭开;取出,试剂容器,带盖
木炭,药品与实验材料,木炭,用于验证氧气助燃性质,210,抓取;放置;夹持;点燃;观察,燃烧材料,固体
药匙,操作工具,药匙,从试剂瓶中盛取高锰酸钾并转移到试管,220,抓取;放置;取出固体,固体转移工具,取药
坩埚钳,操作工具,坩埚钳,夹取木炭并送入集气瓶验证氧气性质,230,抓取;放置;夹取,夹持工具,耐热
火柴铁丝组合,药品与实验材料,火柴铁丝组合,点燃后伸入集气瓶验证氧气性质,240,抓取;放置;点燃;观察,性质验证材料,耗材;铁丝
组合引燃火柴,药品与实验材料,铁丝底端火柴,作为火柴铁丝组合的点火部位,250,点燃,组合点火部位,耗材
