选项类型,选项标识,显示名称,用途说明
关系类型,交互.关系.位于容器内,位于容器内,表示用品或物质位于容器中
关系类型,交互.关系.连接,连接,表示两个端口已经连接
关系类型,交互.关系.覆盖,覆盖,表示覆盖件盖住目标
关系类型,交互.关系.固定,固定,表示用品被夹具或支架固定
关系类型,交互.关系.浸入,浸入,表示用品末端浸入液体
关系类型,交互.关系.接触,接触,表示两个用品发生接触
关系类型,交互.关系.持有,持有,表示操作者当前持有用品
关系类型,化学.关系.加热,加热,表示热源正在加热目标
事实字段,是否已点燃,是否已点燃,判断热源或材料是否已经点燃
事实字段,温度摄氏度,温度,读取对象当前温度
事实字段,所含物质数量,所含物质数量,读取容器或工具中的物质数量
事实字段,是否已连接,是否已连接,判断所需连接是否已经建立
事实字段,是否被覆盖,是否被覆盖,判断目标是否被覆盖件盖住
表现信号,工具内容变化,工具内容变化,刷新工具上固体或液体的视觉表现
表现信号,火焰状态变化,火焰状态变化,刷新火焰和相关声音表现
表现信号,气体收集变化,气体收集变化,刷新集气瓶中的气体表现
表现信号,反应现象变化,反应现象变化,刷新颜色、气泡或沉淀等现象
表现信号,显示提示,显示提示,在全局接收器显示中文提示
表现信号,显示渲染器,显示渲染器,显示对象逻辑插槽中的内容
表现信号,隐藏渲染器,隐藏渲染器,隐藏对象逻辑插槽中的内容
后果模板,提示并允许继续,提示并允许继续,记录现象偏差但不阻断后续操作
后果模板,纠正后继续,纠正后继续,要求恢复正确装置或状态后继续
后果模板,更换样品或器材后继续,更换样品或器材后继续,当前样品或器材失效但课程可继续
后果模板,重新开始,重新开始,当前实验状态不再适合继续
后果模板,无法继续,无法继续,安全事故或不可恢复后果阻断整个实验
