配方标识,结果配方,定义标识,状态变化方式,参数名,常量值,绑定种类,绑定参数
化学.倾倒,结果.开始倾倒,开始倾倒,开始倾倒过程,来源引用,,动作来源,来源
化学.倾倒,结果.结束倾倒,结束倾倒,结束倾倒过程,来源引用,,动作来源,来源
化学.加热,结果.开始加热,开始加热,开始加热过程,来源引用,,动作来源,来源
化学.加热,结果.结束加热,结束加热,结束加热过程,来源引用,,动作来源,来源
化学.点燃,结果.点燃,点燃,开始燃烧,来源引用,,动作来源,来源
化学.点燃,结果.熄灭,熄灭,停止燃烧,来源引用,,动作来源,来源
化学.点燃热源,结果.点燃热源,点燃热源,设置标量,状态键,,当前实体,实体
化学.点燃热源,结果.点燃热源,点燃热源,设置标量,数值,1,,
化学.点燃热源,结果.点燃热源,点燃热源,设置标量,单位,布尔,,
化学.点燃热源,结果.熄灭热源,熄灭热源,设置标量,状态键,,当前实体,实体
化学.点燃热源,结果.熄灭热源,熄灭热源,设置标量,数值,0,,
化学.点燃热源,结果.熄灭热源,熄灭热源,设置标量,单位,布尔,,
化学.振荡,结果.振荡,振荡,记录振荡,来源引用,,动作来源,来源
化学.集气,结果.集气,集气,转移物质,来源引用,,动作来源,来源
化学.放入反应产物,结果.放入反应产物,建立产物放置,设置关系,关系类型,位于容器内,,
化学.放入反应产物,结果.放入反应产物,建立产物放置,设置关系,来源实体引用,,动作来源,来源
化学.放入反应产物,结果.放入反应产物,建立产物放置,设置关系,目标实体引用,,动作目标,目标
化学.放入反应产物,结果.放入反应产物,转移产物,转移物质,来源引用,,动作来源,来源
