覆盖标识,触发类型,触发值,触发来源,触发目标,对象或状态,表现原语,作用位置,位置标识,参数名,参数类型,参数值
表现.动作拒绝提示,动作拒绝,所有动作拒绝,,,所有动作拒绝,显示提示,全局接收器,,文案,文本,当前条件不允许执行该操作
表现.动作拒绝提示,动作拒绝,所有动作拒绝,,,所有动作拒绝,显示提示,全局接收器,,持续秒数,数值,3
表现.初始化显示高锰酸钾,课程初始化,课程已初始化,,,高锰酸钾试剂瓶,显示渲染器,表现插槽,插槽.内容,,,
表现.初始化隐藏药匙内容,课程初始化,课程已初始化,,,药匙,隐藏渲染器,表现插槽,插槽.内容,,,
表现.初始化隐藏试管内容,课程初始化,课程已初始化,,,大试管,隐藏渲染器,表现插槽,插槽.内容,,,
表现.粉末污染提示,领域事件,实验风险.粉末污染,,,大试管,显示提示,全局接收器,,文案,文本,未放置棉花仍开始加热：粉末已进入导气系统
表现.装置漏气提示,领域事件,实验风险.装置漏气,,,大试管,显示提示,全局接收器,,文案,文本,装置未密封仍开始加热：生成的氧气正在逸散
表现.氧气不纯提示,领域事件,实验风险.氧气不纯,,,集气瓶一,显示提示,全局接收器,,文案,文本,过早收集气体：本瓶氧气纯度不足
表现.倒吸提示,领域事件,实验风险.冷凝水倒吸,,,大试管,显示提示,全局接收器,,文案,文本,导气管未移出水面便停止加热：已经发生倒吸
表现.热损伤提示,领域事件,实验风险.集气瓶热损伤,,,集气瓶二,显示提示,全局接收器,,文案,文本,瓶底未留水：高温熔融物已经损伤集气瓶
表现.舀取后隐藏试剂瓶内容,动作成功,拿出,药匙,高锰酸钾试剂瓶,高锰酸钾试剂瓶,隐藏渲染器,表现插槽,插槽.内容,,,
表现.舀取后显示药匙内容,动作成功,拿出,药匙,高锰酸钾试剂瓶,药匙,显示渲染器,表现插槽,插槽.内容,,,
表现.投料时隐藏药匙内容,动作成功,开始倾倒,药匙,大试管,药匙,隐藏渲染器,表现插槽,插槽.内容,,,
表现.投料时显示试管内容,动作成功,开始倾倒,药匙,大试管,大试管,显示渲染器,表现插槽,插槽.内容,,,
